mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Household Appliance Stores,443141,Retail & Restaurants,Consumer Products,443141 - Household Appliance Stores,Retail Home,Household Appliance Stores
"Radio, Television, And Electronic Stores",443142,Retail & Restaurants,Consumer Products,443142 - Electronics Stores,Retail Home,Electronics Stores
Lumber And Other Building Materials,444110,Retail & Restaurants,Consumer Products,444110 - Home Centers,Retail Home,Home Centers
"Paint, Glass, And Wallpaper Stores",444120,Retail & Restaurants,Consumer Products,444120 - Paint and Wallpaper Stores,Retail Home,Paint and Wallpaper Stores
Hardware Stores,444130,Retail & Restaurants,Consumer Products,444130 - Hardware Stores,Retail Home,Hardware Stores
Lumber And Other Building Materials,444190,Retail & Restaurants,Consumer Products,444190 - Other Building Material Dealers,Retail Home,Other Building Material Dealers
Retail Nurseries And Garden Stores,444210,Retail & Restaurants,Consumer Products,444210 - Outdoor Power Equipment Stores,Retail Home,Outdoor Power Equipment Stores
Retail Nurseries And Garden Stores,444220,Retail & Restaurants,Consumer Products,"444220 - Nursery, Garden Center, and Farm Supply Stores",Retail Home,"Nursery, Garden Center, and Farm Supply Stores"
Grocery Stores,445110,Retail & Restaurants,Consumer Products,445110 - Supermarkets and Other Grocery (except Convenience) Stores,Retail Food & Drug,Supermarkets and Other Grocery (except Convenience) Stores
Grocery Stores,445120,Retail & Restaurants,Consumer Products,445120 - Convenience Stores,Retail Food & Drug,Convenience Stores
Meat And Fish Markets,445210,Retail & Restaurants,Consumer Products,445210 - Meat Markets,Retail Food & Drug,Meat Markets
Meat And Fish Markets,445220,Retail & Restaurants,Consumer Products,445220 - Fish and Seafood Markets,Retail Food & Drug,Fish and Seafood Markets
Fruit And Vegetable Markets,445230,Retail & Restaurants,Consumer Products,445230 - Fruit and Vegetable Markets,Retail Food & Drug,Fruit and Vegetable Markets
Retail Bakeries,445291,Retail & Restaurants,Consumer Products,445291 - Baked Goods Stores,Retail Food & Drug,Baked Goods Stores
"Candy, Nut, And Confectionery Stores",445292,Retail & Restaurants,Consumer Products,445292 - Confectionery and Nut Stores,Retail Food & Drug,Confectionery and Nut Stores
Dairy Products Stores,445299,Retail & Restaurants,Consumer Products,445299 - All Other Specialty Food Stores,Retail Food & Drug,All Other Specialty Food Stores
Liquor Stores,445310,Retail & Restaurants,Consumer Products,"445310 - Beer, Wine, and Liquor Stores",Retail Food & Drug,"Beer, Wine, and Liquor Stores"
Drug Stores And Proprietary Stores,446110,Retail & Restaurants,Consumer Products,446110 - Pharmacies and Drug Stores,Retail Food & Drug,Pharmacies and Drug Stores
"Miscellaneous Retail Stores, Nec",446120,Retail & Restaurants,Consumer Products,"446120 - Cosmetics, Beauty Supplies, and Perfume Stores",Specialty Retail,"Cosmetics, Beauty Supplies, and Perfume Stores"
Optical Goods Stores,446130,Retail & Restaurants,Consumer Products,446130 - Optical Goods Stores,Specialty Retail,Optical Goods Stores
Miscellaneous Food Stores,446191,Retail & Restaurants,Consumer Products,446191 - Food (Health) Supplement Stores,Specialty Retail,Food (Health) Supplement Stores
"Miscellaneous Retail Stores, Nec",446199,Retail & Restaurants,Consumer Products,446199 - All Other Health and Personal Care Stores,Specialty Retail,All Other Health and Personal Care Stores
Gasoline Service Stations,447110,Retail & Restaurants,Consumer Products,447110 - Gasoline Stations with Convenience Stores,Retail Food & Drug,Gasoline Stations with Convenience Stores
Gasoline Service Stations,447190,Retail & Restaurants,Consumer Products,447190 - Other Gasoline Stations,Retail Food & Drug,Other Gasoline Stations
Men's And Boys' Clothing Stores,448110,Retail & Restaurants,Consumer Products,448110 - Men's Clothing Stores,Specialty Retail,Men's Clothing Stores
Women's Clothing Stores,448120,Retail & Restaurants,Consumer Products,448120 - Women's Clothing Stores,Specialty Retail,Women's Clothing Stores
Children's And Infants' Wear Stores,448130,Retail & Restaurants,Consumer Products,448130 - Children's and Infants' Clothing Stores,Specialty Retail,Children's and Infants' Clothing Stores
Family Clothing Stores,448140,Retail & Restaurants,Consumer Products,448140 - Family Clothing Stores,Specialty Retail,Family Clothing Stores
Women's Accessory And Specialty Stores,448150,Retail & Restaurants,Consumer Products,448150 - Clothing Accessories Stores,Specialty Retail,Clothing Accessories Stores
Women's Accessory And Specialty Stores,448190,Retail & Restaurants,Consumer Products,448190 - Other Clothing Stores,Specialty Retail,Other Clothing Stores
Shoe Stores,448210,Retail & Restaurants,Consumer Products,448210 - Shoe Stores,Specialty Retail,Shoe Stores
Jewelry Stores,448310,Retail & Restaurants,Consumer Products,448310 - Jewelry Stores,Specialty Retail,Jewelry Stores
Luggage And Leather Goods Stores,448320,Retail & Restaurants,Consumer Products,448320 - Luggage and Leather Goods Stores,Specialty Retail,Luggage and Leather Goods Stores
Sporting Goods And Bicycle Shops,451110,Retail & Restaurants,Consumer Products,451110 - Sporting Goods Stores,Specialty Retail,Sporting Goods Stores
"Hobby, Toy, And Game Shops",451120,Retail & Restaurants,Consumer Products,"451120 - Hobby, Toy, and Game Stores",Specialty Retail,"Hobby, Toy, and Game Stores"
Drapery And Upholstery Stores,451130,Retail & Restaurants,Consumer Products,"451130 - Sewing, Needlework, and Piece Goods Stores",Specialty Retail,"Sewing, Needlework, and Piece Goods Stores"
Musical Instrument Stores,451140,Retail & Restaurants,Consumer Products,451140 - Musical Instrument and Supplies Stores,Specialty Retail,Musical Instrument and Supplies Stores
Book Stores,451211,Retail & Restaurants,Consumer Products,451211 - Book Stores,Specialty Retail,Book Stores
News Dealers And Newsstands,451212,Retail & Restaurants,Consumer Products,451212 - News Dealers and Newsstands,Specialty Retail,News Dealers and Newsstands
Department Stores,452111,Retail & Restaurants,Consumer Products,452111 - Department Stores (except Discount Department Stores),Retail,Department Stores (except Discount Department Stores)
Department Stores,452112,Retail & Restaurants,Consumer Products,452112 - Discount Department Stores,Retail,Discount Department Stores
Miscellaneous General Merchandise,452910,Retail & Restaurants,Consumer Products,452910 - Warehouse Clubs and Supercenters,Retail,Warehouse Clubs and Supercenters
Variety Stores,452990,Retail & Restaurants,Consumer Products,452990 - All Other General Merchandise Stores,Retail,All Other General Merchandise Stores
Florists,453110,Retail & Restaurants,Consumer Products,453110 - Florists,Specialty Retail,Florists
Stationery Stores,453210,Retail & Restaurants,Consumer Products,453210 - Office Supplies and Stationery Stores,Specialty Retail,Office Supplies and Stationery Stores
"Gift, Novelty, And Souvenir Shop",453220,Retail & Restaurants,Consumer Products,"453220 - Gift, Novelty, and Souvenir Stores",Specialty Retail,"Gift, Novelty, and Souvenir Stores"
Used Merchandise Stores,453310,Retail & Restaurants,Consumer Products,453310 - Used Merchandise Stores,Specialty Retail,Used Merchandise Stores
"Miscellaneous Retail Stores, Nec",453910,Retail & Restaurants,Consumer Products,453910 - Pet and Pet Supplies Stores,Specialty Retail,Pet and Pet Supplies Stores
"Miscellaneous Retail Stores, Nec",453920,Retail & Restaurants,Consumer Products,453920 - Art Dealers,Specialty Retail,Art Dealers
Mobile Home Dealers,453930,Retail & Restaurants,Consumer Products,453930 - Manufactured (Mobile) Home Dealers,Retail Automotive,Manufactured (Mobile) Home Dealers
Tobacco Stores And Stands,453991,Retail & Restaurants,Consumer Products,453991 - Tobacco Stores,Specialty Retail,Tobacco Stores
"Miscellaneous Retail Stores, Nec",453998,Retail & Restaurants,Consumer Products,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores),Specialty Retail,All Other Miscellaneous Store Retailers (except Tobacco Stores)
Catalog And Mail-Order Houses,454111,Retail & Restaurants,Consumer Products,454111 - Electronic Shopping,Retail,Electronic Shopping
Catalog And Mail-Order Houses,454112,Retail & Restaurants,Consumer Products,454112 - Electronic Auctions,Retail,Electronic Auctions
Catalog And Mail-Order Houses,454113,Retail & Restaurants,Consumer Products,454113 - Mail-Order Houses,Retail,Mail-Order Houses
Merchandising Machine Operators,454210,Retail & Restaurants,Consumer Products,454210 - Vending Machine Operators,Specialty Retail,Vending Machine Operators
Fuel Oil Dealers,454310,Retail & Restaurants,Consumer Products,454310 - Fuel Dealers,Specialty Retail,Fuel Dealers
Direct Selling Establishments,454390,Retail & Restaurants,Consumer Products,454390 - Other Direct Selling Establishments,Specialty Retail,Other Direct Selling Establishments
"Air Transportation, Scheduled",481111,Retail & Restaurants,Consumer Products,481111 - Scheduled Passenger Air Transportation,Specialty Retail,Scheduled Passenger Air Transportation
"Air Transportation, Scheduled",481112,Retail & Restaurants,Consumer Products,481112 - Scheduled Freight Air Transportation,Specialty Retail,Scheduled Freight Air Transportation
"Air Transportation, Nonscheduled",481211,Retail & Restaurants,Consumer Products,481211 - Nonscheduled Chartered Passenger Air Transportation,Specialty Retail,Nonscheduled Chartered Passenger Air Transportation
"Air Transportation, Nonscheduled",481212,Retail & Restaurants,Consumer Products,481212 - Nonscheduled Chartered Freight Air Transportation,Specialty Retail,Nonscheduled Chartered Freight Air Transportation
"Air Transportation, Nonscheduled",481219,Retail & Restaurants,Consumer Products,481219 - Other Nonscheduled Air Transportation,Specialty Retail,Other Nonscheduled Air Transportation
"Railroads, Line-Haul Operating",482111,B2B Wholesale/Distribution,Industrials,482111 - Line-Haul Railroads,Distribution,Line-Haul Railroads
Switching And Terminal Services,482112,B2B Wholesale/Distribution,Industrials,482112 - Short Line Railroads,Distribution,Short Line Railroads
Deep Sea Foreign Transportation Of Freight,483111,B2B Wholesale/Distribution,Industrials,483111 - Deep Sea Freight Transportation,Distribution,Deep Sea Freight Transportation
"Deep Sea Passenger Transportation, Except Ferry",483112,Retail & Restaurants,Consumer Products,483112 - Deep Sea Passenger Transportation,Specialty Retail,Deep Sea Passenger Transportation
Deep Sea Domestic Transportation Of Freight,483113,B2B Wholesale/Distribution,Industrials,483113 - Coastal and Great Lakes Freight Transportation,Distribution,Coastal and Great Lakes Freight Transportation
"Deep Sea Passenger Transportation, Except Ferry",483114,Retail & Restaurants,Consumer Products,483114 - Coastal and Great Lakes Passenger Transportation,Specialty Retail,Coastal and Great Lakes Passenger Transportation
Water Transportation Of Freight,483211,B2B Wholesale/Distribution,Industrials,483211 - Inland Water Freight Transportation,Distribution,Inland Water Freight Transportation
Ferries,483212,Retail & Restaurants,Consumer Products,483212 - Inland Water Passenger Transportation,Specialty Retail,Inland Water Passenger Transportation
"Local Trucking, Without Storage",484110,B2B Wholesale/Distribution,Industrials,"484110 - General Freight Trucking, Local",Distribution,"General Freight Trucking, Local"
"Trucking, Except Local",484121,B2B Wholesale/Distribution,Industrials,"484121 - General Freight Trucking, Long-Distance, Truckload",Distribution,"General Freight Trucking, Long-Distance, Truckload"
"Trucking, Except Local",484122,B2B Wholesale/Distribution,Industrials,"484122 - General Freight Trucking, Long-Distance, Less Than Truckload",Distribution,"General Freight Trucking, Long-Distance, Less Than Truckload"
"Local Trucking, Without Storage",484210,B2B Wholesale/Distribution,Industrials,484210 - Used Household and Office Goods Moving,Distribution,Used Household and Office Goods Moving
"Local Trucking, Without Storage",484220,B2B Wholesale/Distribution,Industrials,"484220 - Specialized Freight (except Used Goods) Trucking, Local",Distribution,"Specialized Freight (except Used Goods) Trucking, Local"
"Trucking, Except Local",484230,B2B Wholesale/Distribution,Industrials,"484230 - Specialized Freight (except Used Goods) Trucking, Long-Distance",Distribution,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
Local And Suburban Transit,485111,Retail & Restaurants,Consumer Products,485111 - Mixed Mode Transit Systems,Specialty Retail,Mixed Mode Transit Systems
Local And Suburban Transit,485112,Retail & Restaurants,Consumer Products,485112 - Commuter Rail Systems,Specialty Retail,Commuter Rail Systems
Local And Suburban Transit,485113,Retail & Restaurants,Consumer Products,485113 - Bus and Other Motor Vehicle Transit Systems,Specialty Retail,Bus and Other Motor Vehicle Transit Systems
Local And Suburban Transit,485119,Retail & Restaurants,Consumer Products,485119 - Other Urban Transit Systems,Specialty Retail,Other Urban Transit Systems
Intercity And Rural Bus Transportation,485210,Retail & Restaurants,Consumer Products,485210 - Interurban and Rural Bus Transportation,Specialty Retail,Interurban and Rural Bus Transportation
Taxicabs,485310,Retail & Restaurants,Consumer Products,485310 - Taxi Service,Specialty Retail,Taxi Service
"Local Passenger Transportation, Nec",485320,Retail & Restaurants,Consumer Products,485320 - Limousine Service,Specialty Retail,Limousine Service
School Buses,485410,Retail & Restaurants,Consumer Products,485410 - School and Employee Bus Transportation,Specialty Retail,School and Employee Bus Transportation
Local Bus Charter Service,485510,Retail & Restaurants,Consumer Products,485510 - Charter Bus Industry,Specialty Retail,Charter Bus Industry
"Local Passenger Transportation, Nec",485991,Retail & Restaurants,Consumer Products,485991 - Special Needs Transportation,Specialty Retail,Special Needs Transportation
"Local Passenger Transportation, Nec",485999,Retail & Restaurants,Consumer Products,485999 - All Other Transit and Ground Passenger Transportation,Specialty Retail,All Other Transit and Ground Passenger Transportation
Crude Petroleum Pipelines,486110,Energy,Industrials,486110 - Pipeline Transportation of Crude Oil,Midstream,Pipeline Transportation of Crude Oil
Natural Gas Transmission,486210,Energy,Industrials,486210 - Pipeline Transportation of Natural Gas,Midstream,Pipeline Transportation of Natural Gas
Refined Petroleum Pipelines,486910,Energy,Industrials,486910 - Pipeline Transportation of Refined Petroleum Products,Downstream,Pipeline Transportation of Refined Petroleum Products
"Pipelines, Nec",486990,Energy,Industrials,486990 - All Other Pipeline Transportation,Midstream,All Other Pipeline Transportation
"Local Passenger Transportation, Nec",487110,Retail & Restaurants,Consumer Products,"487110 - Scenic and Sightseeing Transportation, Land",Specialty Retail,"Scenic and Sightseeing Transportation, Land"
Water Passenger Transportation,487210,Retail & Restaurants,Consumer Products,"487210 - Scenic and Sightseeing Transportation, Water",Specialty Retail,"Scenic and Sightseeing Transportation, Water"
"Air Transportation, Nonscheduled",487990,Retail & Restaurants,Consumer Products,"487990 - Scenic and Sightseeing Transportation, Other",Specialty Retail,"Scenic and Sightseeing Transportation, Other"
"Airports, Flying Fields, And Services",488111,Federal Government,Federal Government,488111 - Air Traffic Control,Federal Government,Air Traffic Control
"Airports, Flying Fields, And Services",488119,Federal Government,Federal Government,488119 - Other Airport Operations,Federal Government,Other Airport Operations
"Airports, Flying Fields, And Services",488190,B2B Wholesale/Distribution,Industrials,488190 - Other Support Activities for Air Transportation,Distribution,Other Support Activities for Air Transportation
Switching And Terminal Services,488210,B2B Wholesale/Distribution,Industrials,488210 - Support Activities for Rail Transportation,Distribution,Support Activities for Rail Transportation
Marine Cargo Handling,488310,B2B Wholesale/Distribution,Industrials,488310 - Port and Harbor Operations,Distribution,Port and Harbor Operations
Marine Cargo Handling,488320,B2B Wholesale/Distribution,Industrials,488320 - Marine Cargo Handling,Distribution,Marine Cargo Handling
Towing And Tugboat Service,488330,B2B Wholesale/Distribution,Industrials,488330 - Navigational Services to Shipping,Distribution,Navigational Services to Shipping
"Water Transportation Services, Nec",488390,B2B Wholesale/Distribution,Industrials,488390 - Other Support Activities for Water Transportation,Distribution,Other Support Activities for Water Transportation
"Automotive Services, Nec",488410,Retail & Restaurants,Consumer Products,488410 - Motor Vehicle Towing,Retail Automotive,Motor Vehicle Towing
Bus Terminal And Service Facilities,488490,B2B Wholesale/Distribution,Industrials,488490 - Other Support Activities for Road Transportation,Distribution,Other Support Activities for Road Transportation
Freight Transportation Arrangement,488510,B2B Wholesale/Distribution,Industrials,488510 - Freight Transportation Arrangement,Distribution,Freight Transportation Arrangement
Packing And Crating,488991,B2B Wholesale/Distribution,Industrials,488991 - Packing and Crating,Distribution,Packing and Crating
"Transportation Services, Nec",488999,B2B Wholesale/Distribution,Industrials,488999 - All Other Support Activities for Transportation,Distribution,All Other Support Activities for Transportation
U.S. Postal Service,491110,Federal Government,Federal Government,491110 - Postal Service,Federal Government,Postal Service
"Courier Services, Except By Air",492110,B2B Wholesale/Distribution,Industrials,492110 - Couriers and Express Delivery Services,Distribution,Couriers and Express Delivery Services
"Courier Services, Except By Air",492210,B2B Wholesale/Distribution,Industrials,492210 - Local Messengers and Local Delivery,Distribution,Local Messengers and Local Delivery
General Warehousing And Storage,493110,B2B Wholesale/Distribution,Industrials,493110 - General Warehousing and Storage,Distribution,General Warehousing and Storage
Refrigerated Warehousing And Storage,493120,Food & Beverage,Consumer Products,493120 - Refrigerated Warehousing and Storage,Food Distribution,Refrigerated Warehousing and Storage
Farm Product Warehousing And Storage,493130,Food & Beverage,Consumer Products,493130 - Farm Product Warehousing and Storage,Food Distribution,Farm Product Warehousing and Storage
"Special Warehousing And Storage, Nec",493190,B2B Wholesale/Distribution,Industrials,493190 - Other Warehousing and Storage,Distribution,Other Warehousing and Storage
Newspapers,511110,Media & Entertainment,TMT,511110 - Newspaper Publishers,Media,Newspaper Publishers
Periodicals,511120,Media & Entertainment,TMT,511120 - Periodical Publishers,Media,Periodical Publishers
Book Publishing,511130,Media & Entertainment,TMT,511130 - Book Publishers,Media,Book Publishers
Miscellaneous Publishing,511140,Media & Entertainment,TMT,511140 - Directory and Mailing List Publishers,Media,Directory and Mailing List Publishers
Greeting Cards,511191,Media & Entertainment,TMT,511191 - Greeting Card Publishers,Media,Greeting Card Publishers
Miscellaneous Publishing,511199,Media & Entertainment,TMT,511199 - All Other Publishers,Media,All Other Publishers
Prepackaged Software,511210,Technology,TMT,511210 - Software Publishers,Software,Software Publishers
Motion Picture And Video Production,512110,Media & Entertainment,TMT,512110 - Motion Picture and Video Production,Entertainment,Motion Picture and Video Production
Motion Picture And Tape Distribution,512120,Media & Entertainment,TMT,512120 - Motion Picture and Video Distribution,Entertainment,Motion Picture and Video Distribution
"Motion Picture Theaters, Except Drive-In",512131,Media & Entertainment,TMT,512131 - Motion Picture Theaters (except Drive-Ins),Media,Motion Picture Theaters (except Drive-Ins)
Drive-In Motion Picture Theaters,512132,Media & Entertainment,TMT,512132 - Drive-In Motion Picture Theaters,Media,Drive-In Motion Picture Theaters
Services Allied To Motion Pictures,512191,Media & Entertainment,TMT,512191 - Teleproduction and Other Postproduction Services,Media,Teleproduction and Other Postproduction Services
Services Allied To Motion Pictures,512199,Media & Entertainment,TMT,512199 - Other Motion Picture and Video Industries,Entertainment,Other Motion Picture and Video Industries
"Business Services, Nec",512210,Communications,Consumer Products,512210 - Record Production,Communications,Record Production
"Business Services, Nec",512220,Communications,Consumer Products,512220 - Integrated Record Production/Distribution,Communications,Integrated Record Production/Distribution
Book Publishing,512230,Media & Entertainment,TMT,512230 - Music Publishers,Entertainment,Music Publishers
"Business Services, Nec",512240,Media & Entertainment,TMT,512240 - Sound Recording Studios,Entertainment,Sound Recording Studios
"Business Services, Nec",512290,Media & Entertainment,TMT,512290 - Other Sound Recording Industries,Media,Other Sound Recording Industries
Radio Broadcasting Stations,515111,Media & Entertainment,TMT,515111 - Radio Networks,Media,Radio Networks
Radio Broadcasting Stations,515112,Media & Entertainment,TMT,515112 - Radio Stations,Media,Radio Stations
Television Broadcasting Stations,515120,Media & Entertainment,TMT,515120 - Television Broadcasting,Media,Television Broadcasting
Cable And Other Pay Television Services,515210,Media & Entertainment,TMT,515210 - Cable and Other Subscription Programming,Media,Cable and Other Subscription Programming
Telegraph And Other Communications,517110,Technology,Business and Professional Services,517110 - Wired Telecommunications Carriers,Communications,Wired Telecommunications Carriers
Radiotelephone Communication,517210,Technology,Business and Professional Services,517210 - Wireless Telecommunications Carriers (except Satellite),Communications,Wireless Telecommunications Carriers (except Satellite)
"Communication Services, Nec",517410,Telecommunications,TMT,517410 - Satellite Telecommunications,Telecommunications,Satellite Telecommunications
"Telephone Communication, Except Radio",517911,Telecommunications,TMT,517911 - Telecommunications Resellers,Telecommunications,Telecommunications Resellers
"Communication Services, Nec",517919,Telecommunications,TMT,517919 - All Other Telecommunications,Telecommunications,All Other Telecommunications
Data Processing And Preparation,518210,Technology,TMT,"518210 - Data Processing, Hosting, and Related Services",Software,"Data Processing, Hosting, and Related Services"
News Syndicates,519110,Media & Entertainment,TMT,519110 - News Syndicates,Media,News Syndicates
Libraries,519120,"State, Local Government",State and Local Government,519120 - Libraries and Archives,Information,Libraries and Archives
Miscellaneous Publishing,519130,Technology,TMT,519130 - Internet Publishing and Broadcasting and Web Search Portals,Software,Internet Publishing and Broadcasting and Web Search Portals
News Syndicates,519190,Technology,TMT,519190 - All Other Information Services,IT Services,All Other Information Services
Federal Reserve Banks,521110,Specialty Finance,Financial Services,521110 - Monetary Authorities-Central Bank,Specialty Finance,Monetary Authorities-Central Bank
National Commercial Banks,522110,Financial Institutions,Financial Services,522110 - Commercial Banking,Banks,Commercial Banking
Federal Savings Institutions,522120,Financial Institutions,Financial Services,522120 - Savings Institutions,Banks,Savings Institutions
Federal Credit Unions,522130,Financial Institutions,Financial Services,522130 - Credit Unions,Credit Unions,Credit Unions
"Commercial Banks, NEC",522190,Financial Institutions,Financial Services,522190 - Other Depository Credit Intermediation,Banks,Other Depository Credit Intermediation
Personal Credit Institutions,522210,Specialty Finance,Financial Services,522210 - Credit Card Issuing,Specialty Finance,Credit Card Issuing
Personal Credit Institutions,522220,Specialty Finance,Financial Services,522220 - Sales Financing,Specialty Finance,Sales Financing
Personal Credit Institutions,522291,Specialty Finance,Financial Services,522291 - Consumer Lending,Specialty Finance,Consumer Lending
Federal And Federally Sponsored Credit,522292,Specialty Finance,Financial Services,522292 - Real Estate Credit,Specialty Finance,Real Estate Credit
Foreign Trade And International Banks,522293,Specialty Finance,Financial Services,522293 - International Trade Financing,Specialty Finance,International Trade Financing
Federal And Federally Sponsored Credit,522294,Specialty Finance,Financial Services,522294 - Secondary Market Financing,Specialty Finance,Secondary Market Financing
"Central Reserve Depository, Nec",522298,Specialty Finance,Financial Services,522298 - All Other Nondepository Credit Intermediation,Specialty Finance,All Other Nondepository Credit Intermediation
Loan Brokers,522310,Specialty Finance,Financial Services,522310 - Mortgage and Nonmortgage Loan Brokers,Specialty Finance,Mortgage and Nonmortgage Loan Brokers
Functions Related To Depository Banking,522320,Specialty Finance,Financial Services,"522320 - Financial Transactions Processing, Reserve, and Clearinghouse Activities",Specialty Finance,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
Mortgage Bankers And Correspondents,522390,Specialty Finance,Financial Services,522390 - Other Activities Related to Credit Intermediation,Specialty Finance,Other Activities Related to Credit Intermediation
Security Brokers And Dealers,523110,Capital Markets,Financial Services,523110 - Investment Banking and Securities Dealing,Broker Dealers and Future Commission Merchants,Investment Banking and Securities Dealing
Security Brokers And Dealers,523120,Capital Markets,Financial Services,523120 - Securities Brokerage,Broker Dealers and Future Commission Merchants,Securities Brokerage
"Commodity Contracts Brokers, Dealers",523130,Capital Markets,Financial Services,523130 - Commodity Contracts Dealing,Broker Dealers and Future Commission Merchants,Commodity Contracts Dealing
"Commodity Contracts Brokers, Dealers",523140,Capital Markets,Financial Services,523140 - Commodity Contracts Brokerage,Broker Dealers and Future Commission Merchants,Commodity Contracts Brokerage
Security And Commodity Exchanges,523210,Capital Markets,Financial Services,523210 - Securities and Commodity Exchanges,Broker Dealers and Future Commission Merchants,Securities and Commodity Exchanges
"Investors, Nec",523910,Specialty Finance,Financial Services,523910 - Miscellaneous Intermediation,Specialty Finance,Miscellaneous Intermediation
Investment Advice,523920,Asset Management,Financial Services,523920 - Portfolio Management,Registered Investment Advisers,Portfolio Management
Investment Advice,523930,Asset Management,Financial Services,523930 - Investment Advice,Registered Investment Advisers,Investment Advice
Nondeposit Trust Facilities,523991,Asset Management,Financial Services,"523991 - Trust, Fiduciary, and Custody Activities",Registered Investment Advisers,"Trust, Fiduciary, and Custody Activities"
Security And Commodity Service,523999,Asset Management,Financial Services,523999 - Miscellaneous Financial Investment Activities,Registered Investment Advisers,Miscellaneous Financial Investment Activities
Life Insurance,524113,Insurance,Financial Services,524113 - Direct Life Insurance Carriers,Insurance,Direct Life Insurance Carriers
Accident And Health Insurance,524114,Insurance,Financial Services,524114 - Direct Health and Medical Insurance Carriers,Insurance,Direct Health and Medical Insurance Carriers
"Fire, Marine, And Casualty Insurance",524126,Insurance,Financial Services,524126 - Direct Property and Casualty Insurance Carriers,Insurance,Direct Property and Casualty Insurance Carriers
Title Insurance,524127,Insurance,Financial Services,524127 - Direct Title Insurance Carriers,Insurance,Direct Title Insurance Carriers
"Insurance Carriers, Nec",524128,Insurance,Financial Services,"524128 - Other Direct Insurance (except Life, Health, and Medical) Carriers",Insurance,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
Life Insurance,524130,Insurance,Financial Services,524130 - Reinsurance Carriers,Insurance,Reinsurance Carriers
"Insurance Agents, Brokers, And Service",524210,Insurance,Financial Services,524210 - Insurance Agencies and Brokerages,Insurance,Insurance Agencies and Brokerages
"Insurance Agents, Brokers, And Service",524291,Insurance,Financial Services,524291 - Claims Adjusting,Insurance,Claims Adjusting
"Insurance Agents, Brokers, And Service",524292,Insurance,Financial Services,524292 - Third Party Administration of Insurance and Pension Funds,Insurance,Third Party Administration of Insurance and Pension Funds
"Insurance Agents, Brokers, And Service",524298,Insurance,Financial Services,524298 - All Other Insurance Related Activities,Insurance,All Other Insurance Related Activities
"Pension, Health, And Welfare Funds",525110,Asset Management,Financial Services,525110 - Pension Funds,Other Financial Services,Pension Funds
"Pension, Health, And Welfare Funds",525120,Asset Management,Financial Services,525120 - Health and Welfare Funds,Other Financial Services,Health and Welfare Funds
Accident And Health Insurance,525190,Insurance,Financial Services,525190 - Other Insurance Funds,Insurance,Other Insurance Funds
"Management Investment, Open-Ended",525910,Asset Management,Financial Services,525910 - Open-End Investment Funds,Mutual Funds/Hedge Funds/Commodity Pools,Open-End Investment Funds
"Trusts, Nec",525920,Asset Management,Financial Services,"525920 - Trusts, Estates, and Agency Accounts",Registered Investment Advisers,"Trusts, Estates, and Agency Accounts"
"Investment Offices, Nec",525990,Asset Management,Financial Services,525990 - Other Financial Vehicles,SBIC/BDC/Private Equity Funds,Other Financial Vehicles
Apartment Building Operators,531110,Real Estate,Real Estate,531110 - Lessors of Residential Buildings and Dwellings,Lessors/Operators,Lessors of Residential Buildings and Dwellings
Nonresidential Building Operators,531120,Real Estate,Real Estate,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),Lessors/Operators,Lessors of Nonresidential Buildings (except Miniwarehouses)
General Warehousing And Storage,531130,Real Estate,Real Estate,531130 - Lessors of Miniwarehouses and Self-Storage Units,Lessors/Operators,Lessors of Miniwarehouses and Self-Storage Units
Mobile Home Site Operators,531190,Real Estate,Real Estate,531190 - Lessors of Other Real Estate Property,Lessors/Operators,Lessors of Other Real Estate Property
Real Estate Agents And Managers,531210,Real Estate,Real Estate,531210 - Offices of Real Estate Agents and Brokers,Lessors/Operators,Offices of Real Estate Agents and Brokers
Real Estate Agents And Managers,531311,Real Estate,Real Estate,531311 - Residential Property Managers,Lessors/Operators,Residential Property Managers
"Lessors of Real Property, NEC",531312,Real Estate,Real Estate,531312 - Nonresidential Property Managers,Lessors/Operators,Nonresidential Property Managers
Real Estate Agents And Managers,531320,Real Estate,Real Estate,531320 - Offices of Real Estate Appraisers,Lessors/Operators,Offices of Real Estate Appraisers
Real Estate Agents And Managers,531390,Real Estate,Real Estate,531390 - Other Activities Related to Real Estate,Lessors/Operators,Other Activities Related to Real Estate
Passenger Car Rental,532111,Retail & Restaurants,Consumer Products,532111 - Passenger Car Rental,Specialty Retail,Passenger Car Rental
Passenger Car Leasing,532112,Retail & Restaurants,Consumer Products,532112 - Passenger Car Leasing,Specialty Retail,Passenger Car Leasing
"Truck Rental And Leasing, Without Drivers",532120,Retail & Restaurants,Consumer Products,"532120 - Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Specialty Retail,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
"Equipment Rental And Leasing, Nec",532210,Retail & Restaurants,Consumer Products,532210 - Consumer Electronics and Appliances Rental,Specialty Retail,Consumer Electronics and Appliances Rental
