mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Glass And Glazing Work,238150,Construction,Real Estate,238150 - Glass and Glazing Contractors,Specialty Contractors,Glass and Glazing Contractors
"Roofing, Siding, And Sheetmetal Work",238160,Construction,Real Estate,238160 - Roofing Contractors,Specialty Contractors,Roofing Contractors
"Roofing, Siding, And Sheetmetal Work",238170,Construction,Real Estate,238170 - Siding Contractors,Specialty Contractors,Siding Contractors
#N/A,238190,Construction,Real Estate,"238190 - Other Foundation, Structure, and Building Exterior Contractors",Specialty Contractors,"Other Foundation, Structure, and Building Exterior Contractors"
Electrical Work,238210,Construction,Real Estate,238210 - Electrical Contractors and Other Wiring Installation Contractors,Specialty Contractors,Electrical Contractors and Other Wiring Installation Contractors
"Plumbing, Heating, Air-Conditioning",238220,Construction,Real Estate,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",Specialty Contractors,"Plumbing, Heating, and Air-Conditioning Contractors"
Installing Building Equipment,238290,Construction,Real Estate,238290 - Other Building Equipment Contractors,Specialty Contractors,Other Building Equipment Contractors
"Plastering, Drywall, And Insulation",238310,Construction,Real Estate,238310 - Drywall and Insulation Contractors,Specialty Contractors,Drywall and Insulation Contractors
Painting And Paper Hanging,238320,Construction,Real Estate,238320 - Painting and Wall Covering Contractors,Specialty Contractors,Painting and Wall Covering Contractors
"Floor Laying And Floor Work, Nec",238330,Construction,Real Estate,238330 - Flooring Contractors,Specialty Contractors,Flooring Contractors
"Terrazzo, Tile, Marble, Mosaic Work",238340,Construction,Real Estate,238340 - Tile and Terrazzo Contractors,Specialty Contractors,Tile and Terrazzo Contractors
Carpentry Work,238350,Construction,Real Estate,238350 - Finish Carpentry Contractors,Specialty Contractors,Finish Carpentry Contractors
"Roofing, Siding, And Sheetmetal Work",238390,Construction,Real Estate,238390 - Other Building Finishing Contractors,Specialty Contractors,Other Building Finishing Contractors
